Date,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29
2022-07-22,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-25,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-26,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-27,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-28,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-29,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-08-01,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-02,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-03,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-04,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
